,Step,Number of users,Number of items,CPU_Version1_time(s),CPU_Version2_time(s),GPU_Version1_time(s),CPU_Version1_time/GPU_Version1_time,CPU_Version2_time/GPU_Version1_time
0,Eucliean distance,1000,3089,201.95793223381042,2.3768868446350098,0.42712926864624023,472.826254389,5.56479506115
1,Cosine similarity,1000,3089,0.15257692337036133,0.23477673530578613,0.2255265712738037,0.67653635005,1.04101585006
2,KNN,1000,3089,0.8317904472351074,NO,NO,NO,NO
3,Get recommend movies time,1000,3089,2.353415012359619,NO,NO,NO,NO
