,Step,Number of users,Number of items,CPU_Version1_time(s),CPU_Version2_time(s),GPU_Version1_time(s),CPU_Version1_time/GPU_Version1_time,CPU_Version2_time/GPU_Version1_time
0,Eucliean distance,2500,3089,1102.1590564250946,10.963539838790894,1.027453899383545,1072.7090111647553,10.670590520284009
1,Cosine similarity,2500,3089,2.165658712387085,3.2735869884490967,1.226900339126587,1.7651463964292218,2.6681767736567075
2,KNN,2500,3089,3.627721071243286,NO,NO,NO,NO
3,Get recommend movies time,2500,3089,3.7782585620880127,NO,NO,NO,NO
