,Step,Number of users,Number of items,CPU_Version1_time(s),CPU_Version2_time(s),GPU_Version1_time(s),CPU_Version1_time/GPU_Version1_time,CPU_Version2_time/GPU_Version1_time
0,Eucliean distance,1500,3089,389.71697449684143,3.719213962554932,0.3769042491912842,1033.9946427588684,9.867795257111519
1,Cosine similarity,1500,3089,0.4844696521759033,0.6844696521759033,0.3360805511474609,1.4415283791989923,2.0366238089022324
2,KNN,1500,3089,1.5443522930145264,NO,NO,NO,NO
3,Get recommend movies time,1500,3089,3.4037342071533203,NO,NO,NO,NO
