,Step,Number of users,Number of items,CPU_Version1_time(s),CPU_Version2_time(s),GPU_Version1_time(s),CPU_Version1_time/GPU_Version1_time,CPU_Version2_time/GPU_Version1_time
0,Eucliean distance,4000,3089,2896.2308135032654,39.32122278213501,2.2725841999053955,1274.42178539472,17.302427247259704
1,Cosine similarity,4000,3089,8.868293285369873,12.732566595077515,4.5931127071380615,1.930780682038967,2.77209975171959
2,KNN,4000,3089,8.955607414245605,NO,NO,NO,NO
3,Get recommend movies time,4000,3089,4.577172040939331,NO,NO,NO,NO
