,Step,Number of users,Number of items,CPU_Version1_time(s),CPU_Version2_time(s),GPU_Version1_time(s),CPU_Version1_time/GPU_Version1_time,CPU_Version2_time/GPU_Version1_time
0,Eucliean distance,6000,3089,6938.098790645599,69.42319321632385,4.445487976074219,1560.705782579259,15.616551791380846
1,Cosine similarity,6000,3089,26.83729600906372,42.12703275680542,14.812151432037354,1.8118432107720057,2.8440860161399937
2,KNN,6000,3089,19.33996868133545,NO,NO,NO,NO
3,Get recommend movies time,6000,3089,4.706641674041748,NO,NO,NO,NO
